,0-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+
0-5,0.057965,0.02735,0.01963,0.018654999999999998,0.024225,0.035879999999999995,0.053005,0.045735,0.03419,0.02645,0.025735,0.026055000000000002,0.028554999999999997,0.03023,0.02842
6-10,0.13202,0.427825,0.18186,0.04161,0.043594999999999995,0.05513,0.08906,0.13889,0.131735,0.0943,0.066435,0.061274999999999996,0.06723,0.07407,0.06764
11-15,0.062,0.15804,0.30089,0.06725500000000001,0.047674999999999995,0.047869999999999996,0.0597,0.08407,0.10221,0.095825,0.06806000000000001,0.05431,0.05409,0.0584,0.055650000000000005
16-20,0.044535000000000005,0.03132,0.079735,0.32094500000000004,0.13441999999999998,0.08849,0.06935,0.06789,0.08317,0.10702,0.10381,0.076235,0.06462,0.05764,0.058185
21-25,0.067135,0.03058,0.051930000000000004,0.133865,0.22957,0.154115,0.10779,0.08102999999999999,0.08022499999999999,0.09202,0.10186,0.094795,0.081765,0.0754,0.072165
26-30,0.11678,0.034775,0.038335,0.071145,0.129525,0.173795,0.11959,0.08369,0.07313,0.07728499999999999,0.085475,0.092875,0.08105,0.0733,0.06806999999999999
31-35,0.153565,0.052035,0.039330000000000004,0.04782,0.072845,0.100175,0.1227,0.088785,0.06606000000000001,0.06175,0.065065,0.07338,0.0735,0.06683,0.05764
36-40,0.11682999999999999,0.065885,0.05442,0.040805,0.050995,0.060759999999999995,0.08226,0.09778,0.077445,0.061295,0.05615,0.058365,0.06442500000000001,0.061015,0.055345
41-45,0.07630500000000001,0.05969,0.072935,0.05563,0.052595,0.056709999999999997,0.066355,0.081655,0.095735,0.08076,0.068575,0.06761500000000001,0.068215,0.067985,0.063235
46-50,0.045314999999999994,0.037015,0.06357499999999999,0.06678999999999999,0.05906,0.056975,0.056485,0.061675,0.076715,0.09602,0.086865,0.07485,0.06717999999999999,0.06528500000000001,0.06540499999999999
51-55,0.03476,0.021455000000000002,0.034534999999999996,0.05159,0.051585,0.052415,0.049354999999999996,0.047725000000000004,0.05428,0.070705,0.0984,0.08581,0.06988,0.05703,0.064105
56-60,0.03012,0.01725,0.021245,0.03332,0.04113,0.04461,0.045399999999999996,0.042374999999999996,0.043885,0.050030000000000005,0.069165,0.098255,0.08388,0.06259,0.05925
61-65,0.022435,0.011585,0.01302,0.0178,0.023745000000000002,0.02736,0.0302,0.028275,0.028975,0.028745,0.03856,0.057575,0.08567,0.071625,0.049015
66-70,0.01304,0.00814,0.008945000000000002,0.01057,0.01296,0.01512,0.015995000000000002,0.01682,0.016954999999999998,0.01763,0.020479999999999998,0.02582,0.044480000000000006,0.07245,0.050065
71+,0.02673,0.016685,0.01941,0.022185,0.02519,0.03073,0.03252,0.033365000000000006,0.03527,0.04012,0.046125,0.05347,0.064445,0.105685,0.186175
