,0-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+
0-5,0.052525,0.03166,0.02477,0.020295,0.02209,0.030525,0.037794999999999995,0.03623,0.03141,0.027205,0.027825,0.027865,0.029824999999999997,0.03107,0.027325
6-10,0.1065,0.30448,0.133675,0.040584999999999996,0.038529999999999995,0.04826999999999999,0.06762,0.091135,0.094455,0.07625499999999999,0.06319,0.061,0.06612000000000001,0.070605,0.062885
11-15,0.06511,0.126755,0.19838,0.05607,0.045175,0.047095,0.056865,0.07038,0.077235,0.075305,0.061064999999999994,0.056515,0.05641,0.058505,0.050705
16-20,0.06444,0.04916,0.093415,0.249325,0.140815,0.10345499999999999,0.086725,0.077125,0.083645,0.09354499999999999,0.090675,0.07481499999999999,0.069405,0.061365,0.05867
21-25,0.09196,0.059125,0.09405,0.17996499999999999,0.23391499999999998,0.17864000000000002,0.142565,0.116135,0.111145,0.114565,0.120165,0.113885,0.100815,0.089465,0.076555
26-30,0.106735,0.058665,0.069745,0.09708,0.138085,0.15544000000000002,0.12589,0.103535,0.09378,0.09483,0.096225,0.096935,0.08834,0.08202,0.07336000000000001
31-35,0.113815,0.06234,0.05676,0.06116,0.080175,0.09599,0.10306499999999999,0.08873500000000001,0.07492,0.074305,0.07567,0.07901,0.076735,0.07027,0.05926
36-40,0.089035,0.06939999999999999,0.05813,0.04567,0.05352,0.059505,0.07261,0.08363999999999999,0.073215,0.06645,0.061454999999999996,0.062845,0.061875,0.063745,0.0618
41-45,0.072655,0.06454,0.07048,0.049645,0.05104,0.058295,0.06629,0.07882,0.08498,0.075885,0.06927,0.070655,0.06941,0.06567,0.06178
46-50,0.055720000000000006,0.049155000000000004,0.063995,0.05634,0.05251,0.05539,0.05863,0.06475500000000001,0.07328,0.08180000000000001,0.077715,0.07117499999999999,0.06636,0.069585,0.067425
51-55,0.053205,0.03244,0.043155,0.04802,0.046625,0.05236,0.055265,0.053425,0.05797,0.06972,0.080045,0.074545,0.070185,0.06523999999999999,0.07328
56-60,0.042054999999999995,0.02936,0.030830000000000003,0.037755,0.036595,0.04156,0.045515,0.04617,0.04969,0.05114,0.061815,0.075355,0.07303000000000001,0.061454999999999996,0.0623
61-65,0.029415,0.020685000000000002,0.020755000000000003,0.021135,0.02326,0.026755,0.029755,0.030265,0.031875,0.030455,0.037385,0.04624,0.058935,0.053335,0.04834
66-70,0.017750000000000002,0.013645000000000001,0.013340000000000001,0.01167,0.01236,0.01514,0.015969999999999998,0.01964,0.01969,0.02205,0.023960000000000002,0.02783,0.03758,0.053335,0.05586
71+,0.03758,0.028354999999999998,0.029095000000000003,0.02394,0.024480000000000002,0.030414999999999998,0.03597,0.03944,0.04256,0.04714,0.053765,0.060855,0.07350999999999999,0.102045,0.15888000000000002
