,0-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+
0-5,0.06422,0.04602,0.034495,0.017750000000000002,0.02422,0.047515,0.05165,0.05332,0.033165,0.034600000000000006,0.020545,0.03646,0.03733,0.043875,0.019244999999999998
6-10,0.06243,0.19952,0.07081,0.025985,0.019770000000000003,0.024370000000000003,0.061095,0.08518500000000001,0.06066,0.034595,0.022675,0.029269999999999997,0.05696,0.07952000000000001,0.033335000000000004
11-15,0.036934999999999996,0.105735,0.14691500000000002,0.06801,0.038489999999999996,0.022745,0.03801,0.05591,0.080405,0.068425,0.02815,0.025005,0.03067,0.055945,0.059035000000000004
16-20,0.045399999999999996,0.06567,0.11715500000000001,0.23249999999999998,0.10900499999999999,0.061835,0.04552,0.08811,0.110185,0.14937,0.105505,0.065025,0.056069999999999995,0.053309999999999996,0.07343
21-25,0.09548,0.052059999999999995,0.09836,0.165095,0.20704499999999998,0.15312,0.09702,0.081735,0.11252000000000001,0.172035,0.23152,0.16574,0.09333,0.074015,0.11232
26-30,0.17892,0.07668,0.04097,0.08114,0.140335,0.18478499999999998,0.140635,0.081775,0.0712,0.10541,0.15204,0.18443,0.127425,0.07051,0.08668999999999999
31-35,0.15317999999999998,0.10150999999999999,0.051004999999999995,0.045325000000000004,0.064525,0.12210499999999999,0.144985,0.111905,0.06676,0.043215,0.068755,0.12706499999999998,0.11963499999999999,0.09642,0.047185000000000005
36-40,0.059219999999999995,0.068405,0.067095,0.02786,0.022175,0.034894999999999995,0.059755,0.088505,0.08287,0.041215,0.02243,0.037254999999999996,0.09524,0.11072,0.03778
41-45,0.0424,0.09098,0.10674,0.06475500000000001,0.04983,0.031895,0.046134999999999995,0.0668,0.10314,0.07350999999999999,0.03372,0.022940000000000002,0.076345,0.120205,0.08446000000000001
46-50,0.040084999999999996,0.039749999999999994,0.10108500000000001,0.09014,0.096805,0.0459,0.033460000000000004,0.056455000000000005,0.07402500000000001,0.07833499999999999,0.074875,0.03623,0.033714999999999995,0.08699,0.09901
51-55,0.037559999999999996,0.02832,0.0466,0.06141,0.094695,0.08509,0.06184,0.044090000000000004,0.04632,0.06622,0.07933,0.06332,0.035464999999999997,0.03201,0.115595
56-60,0.08158499999999999,0.04271,0.03623,0.05287,0.07397000000000001,0.098335,0.090405,0.06215,0.03813,0.039080000000000004,0.06216,0.091405,0.078655,0.032645,0.07421
61-65,0.052515,0.031805,0.02502,0.02267,0.028335,0.04238,0.06744,0.06582,0.041975,0.017835,0.02558,0.050769999999999996,0.06817000000000001,0.07274,0.05029
66-70,0.02649,0.021355,0.023434999999999997,0.013935,0.0086,0.01249,0.03064,0.026835,0.036645,0.01444,0.009335,0.015940000000000003,0.04048,0.0299,0.02276
71+,0.020655,0.02552,0.031135,0.03092,0.02069,0.03118,0.02876,0.028749999999999998,0.040389999999999995,0.05882,0.059565,0.0475,0.048225000000000004,0.037965,0.0859
