,0-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+
0-5,0.054305,0.034525,0.01657,0.014034999999999999,0.024489999999999998,0.058695,0.10064000000000001,0.070885,0.03833,0.021580000000000002,0.01624,0.018785,0.02267,0.024045,0.020955
6-10,0.14008,0.29844499999999996,0.14368,0.042435,0.039485000000000006,0.057135000000000005,0.13702,0.23315999999999998,0.20639000000000002,0.124255,0.065935,0.049325,0.051995,0.05889,0.056445
11-15,0.05094,0.13302,0.207065,0.090825,0.045155,0.041555,0.063005,0.11746999999999999,0.16009,0.15154,0.089755,0.04864,0.047705,0.044265,0.045485
16-20,0.020159999999999997,0.030100000000000002,0.09867999999999999,0.25626000000000004,0.1099,0.052825,0.031685000000000005,0.049095,0.0928,0.16357,0.16864,0.09727,0.057005,0.044465000000000005,0.04035
21-25,0.029765,0.010415,0.019604999999999997,0.072395,0.227375,0.10878,0.04356,0.02118,0.029580000000000002,0.053610000000000005,0.06644,0.06584000000000001,0.05023,0.03596,0.041874999999999996
26-30,0.13385,0.029845,0.01412,0.035025,0.11921000000000001,0.24632,0.10306000000000001,0.040279999999999996,0.02753,0.036019999999999996,0.0516,0.07267,0.06071,0.044995,0.044300000000000006
31-35,0.23077999999999999,0.09697,0.04444,0.037360000000000004,0.07203,0.13857,0.197955,0.09437,0.04814,0.038255,0.047105,0.06253,0.07075999999999999,0.05853,0.051345
36-40,0.181115,0.14759499999999998,0.107075,0.050890000000000005,0.059565,0.06973,0.12964,0.15474,0.09271499999999999,0.049034999999999995,0.04735,0.055205000000000004,0.068525,0.06296,0.061125
41-45,0.09393499999999999,0.122335,0.15677000000000002,0.10594500000000001,0.06615499999999999,0.05605,0.06661,0.10483500000000001,0.138175,0.09979,0.06681999999999999,0.063245,0.07285,0.078345,0.06383
46-50,0.029545000000000002,0.055715,0.11723,0.13555,0.08362,0.048775,0.035809999999999995,0.044385,0.07824500000000001,0.130135,0.10827999999999999,0.075325,0.05542,0.05235,0.058425000000000005
51-55,0.012400000000000001,0.021475,0.04462,0.08956,0.066125,0.04152,0.02706,0.023465,0.036895,0.069465,0.13454500000000003,0.11030000000000001,0.066855,0.04589,0.047259999999999996
56-60,0.00788,0.00791,0.01486,0.03883,0.043185,0.037044999999999995,0.028545,0.018615,0.023289999999999998,0.030425,0.082355,0.157115,0.11099,0.06713,0.041325
61-65,0.007294999999999999,0.00422,0.004815,0.013989999999999999,0.02137,0.0184,0.01781,0.01128,0.011495,0.012709999999999999,0.027694999999999997,0.07687,0.153885,0.11784,0.04543
66-70,0.00258,0.00296,0.004055,0.005075,0.00729,0.00894,0.007535,0.00547,0.00523,0.006095,0.009264999999999999,0.02205,0.068445,0.14402500000000001,0.06178
71+,0.00399,0.004155,0.00687,0.011375,0.014695,0.013989999999999999,0.010465,0.009875,0.011265,0.01333,0.01693,0.023225000000000003,0.040135000000000004,0.1201,0.31854
