,<=20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,71+
<=20,0.29519,0.094185,0.041725,0.026595,0.02736,0.042010000000000006,0.04327,0.03965,0.022345,0.016175000000000002,0.02197,0.028745
21-25,0.15166000000000002,0.292735,0.15720499999999998,0.107625,0.07871,0.07205,0.08266,0.075315,0.06278500000000001,0.06256500000000001,0.07148499999999999,0.07553499999999999
26-30,0.08374000000000001,0.152595,0.22766999999999998,0.16308,0.14284,0.12066,0.11898500000000001,0.103995,0.11914,0.086725,0.104485,0.10008
31-35,0.06675,0.105445,0.141025,0.164275,0.15017000000000003,0.110685,0.09636,0.10131,0.09895000000000001,0.09875,0.11105000000000001,0.09073500000000001
36-40,0.064985,0.07747,0.0941,0.12895,0.1406,0.1238,0.10380500000000001,0.08363000000000001,0.08512,0.07878,0.08368,0.08360999999999999
41-45,0.08832,0.06124,0.073215,0.102095,0.11718,0.133405,0.117445,0.10293,0.09982,0.09859,0.09144,0.10815
46-50,0.103905,0.073355,0.07852,0.09340000000000001,0.106605,0.129865,0.15065,0.14028000000000002,0.122275,0.121555,0.114425,0.12357000000000001
51-55,0.06420000000000001,0.05242,0.07450999999999999,0.07782,0.08482,0.101395,0.11905,0.148165,0.127215,0.12728,0.08551500000000001,0.09468499999999999
56-60,0.0492,0.05172,0.057685,0.08258499999999999,0.08761,0.092755,0.09983,0.118445,0.14438,0.149865,0.127115,0.14206
61-65,0.022955000000000003,0.031059999999999997,0.044094999999999995,0.044455,0.04986,0.06186,0.055755,0.070545,0.10056999999999999,0.13261,0.122365,0.090805
66-70,0.004635,0.00437,0.007175,0.00752,0.008545,0.00528,0.00684,0.011745,0.013515,0.020069999999999998,0.03567,0.01822
71+,0.00264,0.001555,0.0015,0.002395,0.00372,0.00314,0.00241,0.00364,0.004665,0.006175,0.03228,0.03669
